post_id,topic,likes,shares,saves,comments_count,caption,comments,post_length,post_time
0,career,202,113,90,81,career related content,Loved this,short,afternoon
1,dating,393,71,91,64,dating related content,Amazing content,short,night
2,anxiety,134,123,116,24,anxiety related content,Not really useful,short,morning
3,career,170,128,140,28,career related content,Very helpful,long,afternoon
4,anxiety,149,132,135,43,anxiety related content,Could be better,short,afternoon
5,fitness,248,58,64,63,fitness related content,So true!,short,afternoon
6,career,322,126,143,78,career related content,I feel the same,long,night
7,fitness,383,58,65,69,fitness related content,Not really useful,short,night
8,career,244,76,91,95,career related content,Amazing content,long,night
9,anxiety,199,132,70,52,anxiety related content,Could be better,long,morning
10,dating,259,94,57,49,dating related content,Loved this,long,morning
11,dating,367,117,66,79,dating related content,I disagree,short,night
12,dating,450,53,43,98,dating related content,Loved this,short,night
13,anxiety,160,137,104,81,anxiety related content,Loved this,short,morning
14,dating,384,96,55,70,dating related content,Very helpful,short,night
15,anxiety,237,105,93,78,anxiety related content,I disagree,short,night
16,dating,346,98,84,23,dating related content,Loved this,short,afternoon
17,dating,469,64,68,76,dating related content,Not really useful,long,night
18,fitness,198,88,110,100,fitness related content,Loved this,long,night
19,career,294,109,130,32,career related content,I disagree,long,night
20,fitness,327,65,84,88,fitness related content,Could be better,long,night
21,dating,242,70,59,99,dating related content,This is so relatable,long,morning
22,anxiety,289,93,78,81,anxiety related content,So true!,short,night
23,anxiety,177,129,130,43,anxiety related content,Loved this,long,morning
24,anxiety,190,93,106,40,anxiety related content,I disagree,short,night
25,dating,456,85,53,37,dating related content,This is so relatable,short,morning
26,fitness,181,75,92,88,fitness related content,So true!,long,afternoon
27,fitness,286,80,110,21,fitness related content,Amazing content,long,afternoon
28,career,233,94,160,48,career related content,Amazing content,short,morning
29,fitness,250,73,65,59,fitness related content,Could be better,short,night
30,fitness,275,71,76,89,fitness related content,I disagree,short,afternoon
31,fitness,190,90,74,95,fitness related content,Loved this,short,morning
32,anxiety,233,143,113,68,anxiety related content,Loved this,long,morning
33,fitness,203,67,94,92,fitness related content,I disagree,short,afternoon
34,career,204,102,160,84,career related content,I disagree,short,night
35,fitness,240,70,111,22,fitness related content,Not really useful,long,night
36,fitness,316,89,95,95,fitness related content,I feel the same,short,afternoon
37,anxiety,227,135,113,44,anxiety related content,Very helpful,long,afternoon
38,career,245,117,82,33,career related content,Could be better,short,morning
39,career,213,115,158,27,career related content,Could be better,short,afternoon
40,fitness,280,67,75,95,fitness related content,I disagree,long,afternoon
41,dating,261,74,61,29,dating related content,Could be better,short,afternoon
42,dating,285,104,58,60,dating related content,I feel the same,short,night
43,fitness,328,76,88,22,fitness related content,So true!,long,night
44,dating,317,117,45,41,dating related content,I disagree,short,night
45,dating,390,114,55,59,dating related content,So true!,short,morning
46,career,307,73,143,90,career related content,Not really useful,short,night
47,fitness,240,51,91,45,fitness related content,I feel the same,short,afternoon
48,career,345,100,81,68,career related content,Very helpful,long,night
49,fitness,331,79,119,99,fitness related content,I disagree,long,night
50,career,262,120,107,40,career related content,Could be better,short,morning
51,fitness,309,77,112,89,fitness related content,Amazing content,short,afternoon
52,dating,244,114,90,22,dating related content,Very helpful,short,afternoon
53,career,332,128,100,68,career related content,This helped me a lot,long,night
54,career,311,102,153,28,career related content,I disagree,short,morning
55,anxiety,243,122,94,39,anxiety related content,This is so relatable,short,night
56,fitness,393,54,79,72,fitness related content,Not really useful,short,afternoon
57,dating,335,112,81,81,dating related content,Not really useful,long,morning
58,career,259,114,111,35,career related content,So true!,short,afternoon
59,career,287,79,151,24,career related content,Not really useful,long,morning
60,dating,410,109,96,45,dating related content,This helped me a lot,short,afternoon
61,career,174,87,116,95,career related content,I feel the same,short,night
62,fitness,362,83,68,69,fitness related content,This is so relatable,long,morning
63,anxiety,103,131,133,36,anxiety related content,So true!,long,morning
64,anxiety,145,91,107,40,anxiety related content,Could be better,long,afternoon
65,anxiety,222,127,92,32,anxiety related content,I feel the same,short,afternoon
66,career,223,116,89,89,career related content,This helped me a lot,short,night
67,fitness,228,67,72,45,fitness related content,This helped me a lot,long,morning
68,fitness,208,51,62,43,fitness related content,Very helpful,short,morning
69,anxiety,133,103,90,35,anxiety related content,I feel the same,short,morning
70,dating,410,66,53,46,dating related content,I feel the same,short,night
71,career,330,69,90,41,career related content,Could be better,short,afternoon
72,career,212,110,97,72,career related content,Very helpful,long,morning
73,career,322,103,112,72,career related content,Could be better,short,night
74,career,302,74,111,89,career related content,Not really useful,short,morning
75,career,233,110,97,88,career related content,Loved this,short,afternoon
76,fitness,239,63,64,80,fitness related content,Could be better,short,afternoon
77,fitness,294,65,90,82,fitness related content,Very helpful,long,morning
78,anxiety,157,89,102,55,anxiety related content,Loved this,long,afternoon
79,fitness,321,53,62,34,fitness related content,So true!,long,morning
80,fitness,321,50,69,89,fitness related content,This is so relatable,short,night
81,career,298,96,97,81,career related content,Not really useful,short,afternoon
82,dating,253,72,88,31,dating related content,Amazing content,short,afternoon
83,career,200,105,92,73,career related content,Loved this,short,night
84,career,255,122,123,64,career related content,Very helpful,short,night
85,dating,213,100,71,62,dating related content,This helped me a lot,long,afternoon
86,anxiety,239,98,139,68,anxiety related content,Not really useful,long,night
87,career,345,98,110,46,career related content,Very helpful,long,morning
88,fitness,302,69,101,22,fitness related content,Could be better,short,afternoon
89,fitness,222,47,79,60,fitness related content,Could be better,long,morning
90,dating,469,52,97,20,dating related content,Not really useful,long,afternoon
91,fitness,247,76,102,47,fitness related content,Not really useful,short,afternoon
92,fitness,260,61,63,49,fitness related content,Loved this,long,morning
93,fitness,315,88,75,50,fitness related content,Very helpful,short,afternoon
94,career,326,73,96,22,career related content,Loved this,long,night
95,dating,282,70,82,35,dating related content,Amazing content,long,afternoon
96,anxiety,255,98,101,75,anxiety related content,Could be better,long,night
97,dating,241,73,47,25,dating related content,Amazing content,short,afternoon
98,career,343,109,137,94,career related content,This is so relatable,long,morning
99,career,343,116,158,29,career related content,So true!,short,afternoon
100,anxiety,271,106,116,92,anxiety related content,Amazing content,short,morning
101,anxiety,274,142,132,87,anxiety related content,Very helpful,short,morning
102,career,290,109,132,75,career related content,So true!,long,morning
103,dating,412,103,91,79,dating related content,I feel the same,long,afternoon
104,anxiety,262,135,139,50,anxiety related content,So true!,long,morning
105,anxiety,145,108,91,86,anxiety related content,Very helpful,short,afternoon
106,anxiety,201,126,72,62,anxiety related content,Very helpful,short,afternoon
